Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,1BetAllInAt12Dollars,12,10,12,10,12,FISH:12.0
2,1BetAllInAt12Dollars,12,10,12,10,108,FISH:12.0
3,1BetAllInAt12Dollars,12,10,12,6,0,FISH:12.0
4,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
5,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
6,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
7,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
8,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
9,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
10,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
11,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
12,1BetAllInAt12Dollars,12,10,12,9,0,FISH:12.0
13,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
14,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
15,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
16,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
17,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
18,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
19,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
20,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
21,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
22,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
23,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
24,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
25,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
26,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
27,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
28,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
29,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
30,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
31,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
32,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
33,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
34,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
35,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
36,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
37,1BetAllInAt12Dollars,12,10,12,4,0,FISH:12.0
38,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
39,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
40,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
41,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
42,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
43,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
44,1BetAllInAt12Dollars,12,10,12,6,0,FISH:12.0
45,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
46,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
47,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
48,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
49,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
50,1BetAllInAt12Dollars,12,10,12,10,108,FISH:12.0
51,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
52,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
53,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
54,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
55,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
56,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
57,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
58,1BetAllInAt12Dollars,12,10,12,9,0,FISH:12.0
59,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
60,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
61,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
