Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
2,2BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:6.0|FISH:6.0
3,2BetAllInAt12Dollars,12.0,10,12.0,8,0.0,CRAB:6.0|FISH:6.0
4,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
5,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
6,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
7,2BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:6.0|FISH:6.0
8,2BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:6.0|FISH:6.0
9,2BetAllInAt12Dollars,12.0,10,12.0,10,54.0,CRAB:6.0|FISH:6.0
10,2BetAllInAt12Dollars,12.0,10,12.0,6,6.0,CRAB:6.0|FISH:6.0
11,2BetAllInAt12Dollars,12.0,10,12.0,9,6.0,CRAB:6.0|FISH:6.0
12,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
13,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
14,2BetAllInAt12Dollars,12.0,10,12.0,9,6.0,CRAB:6.0|FISH:6.0
15,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
16,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
17,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
18,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
19,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
20,2BetAllInAt12Dollars,12.0,10,12.0,10,6.0,CRAB:6.0|FISH:6.0
21,2BetAllInAt12Dollars,12.0,10,12.0,10,54.0,CRAB:6.0|FISH:6.0
22,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
23,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
24,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
25,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
26,2BetAllInAt12Dollars,12.0,10,12.0,7,0.0,CRAB:6.0|FISH:6.0
27,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
28,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
29,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
30,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
31,2BetAllInAt12Dollars,12.0,10,12.0,6,0.0,CRAB:6.0|FISH:6.0
32,2BetAllInAt12Dollars,12.0,10,12.0,5,0.0,CRAB:6.0|FISH:6.0
33,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
34,2BetAllInAt12Dollars,12.0,10,12.0,5,0.0,CRAB:6.0|FISH:6.0
35,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
36,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
37,2BetAllInAt12Dollars,12.0,10,12.0,9,0.0,CRAB:6.0|FISH:6.0
38,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
39,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
40,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
41,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
42,2BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:6.0|FISH:6.0
43,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
44,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
45,2BetAllInAt12Dollars,12.0,10,12.0,9,6.0,CRAB:6.0|FISH:6.0
46,2BetAllInAt12Dollars,12.0,10,12.0,8,6.0,CRAB:6.0|FISH:6.0
47,2BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:6.0|FISH:6.0
48,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
49,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
50,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
51,2BetAllInAt12Dollars,12.0,10,12.0,6,6.0,CRAB:6.0|FISH:6.0
52,2BetAllInAt12Dollars,12.0,10,12.0,8,0.0,CRAB:6.0|FISH:6.0
53,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
54,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
55,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
56,2BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:6.0|FISH:6.0
57,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
58,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
59,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
60,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
61,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
62,2BetAllInAt12Dollars,12.0,10,12.0,6,0.0,CRAB:6.0|FISH:6.0
63,2BetAllInAt12Dollars,12.0,10,12.0,10,6.0,CRAB:6.0|FISH:6.0
64,2BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:6.0|FISH:6.0
65,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
66,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
67,2BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:6.0|FISH:6.0
68,2BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:6.0|FISH:6.0
69,2BetAllInAt12Dollars,12.0,10,12.0,6,6.0,CRAB:6.0|FISH:6.0
70,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
71,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
72,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
73,2BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:6.0|FISH:6.0
74,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
75,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
76,2BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:6.0|FISH:6.0
77,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
78,2BetAllInAt12Dollars,12.0,10,12.0,10,30.0,CRAB:6.0|FISH:6.0
79,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
80,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
81,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
82,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
83,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
84,2BetAllInAt12Dollars,12.0,10,12.0,10,0.0,CRAB:6.0|FISH:6.0
85,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
86,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
87,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
88,2BetAllInAt12Dollars,12.0,10,12.0,7,6.0,CRAB:6.0|FISH:6.0
89,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
90,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
91,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
92,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
93,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
94,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
95,2BetAllInAt12Dollars,12.0,10,12.0,7,0.0,CRAB:6.0|FISH:6.0
96,2BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:6.0|FISH:6.0
97,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
98,2BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:6.0|FISH:6.0
99,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
100,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
101,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
102,2BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:6.0|FISH:6.0
103,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
104,2BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:6.0|FISH:6.0
105,2BetAllInAt12Dollars,12.0,10,12.0,6,6.0,CRAB:6.0|FISH:6.0
106,2BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:6.0|FISH:6.0
107,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
108,2BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:6.0|FISH:6.0
109,2BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:6.0|FISH:6.0
110,2BetAllInAt12Dollars,12.0,10,12.0,10,66.0,CRAB:6.0|FISH:6.0
111,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
112,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
113,2BetAllInAt12Dollars,12.0,10,12.0,5,0.0,CRAB:6.0|FISH:6.0
114,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
115,2BetAllInAt12Dollars,12.0,10,12.0,6,0.0,CRAB:6.0|FISH:6.0
116,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
117,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
118,2BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:6.0|FISH:6.0
119,2BetAllInAt12Dollars,12.0,10,12.0,10,6.0,CRAB:6.0|FISH:6.0
120,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
121,2BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:6.0|FISH:6.0
122,2BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:6.0|FISH:6.0
123,2BetAllInAt12Dollars,12.0,10,12.0,6,0.0,CRAB:6.0|FISH:6.0
124,2BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:6.0|FISH:6.0
125,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
126,2BetAllInAt12Dollars,12.0,10,12.0,10,30.0,CRAB:6.0|FISH:6.0
127,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
128,2BetAllInAt12Dollars,12.0,10,12.0,10,0.0,CRAB:6.0|FISH:6.0
129,2BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:6.0|FISH:6.0
130,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
131,2BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:6.0|FISH:6.0
132,2BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:6.0|FISH:6.0
133,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
134,2BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:6.0|FISH:6.0
135,2BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:6.0|FISH:6.0
