Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
2,3BetAllInAt12Dollars,12.0,10,12.0,10,20.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
3,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
4,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
5,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
6,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
7,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
8,3BetAllInAt12Dollars,12.0,10,12.0,5,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
9,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
10,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
11,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
12,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
13,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
14,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
15,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
16,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
17,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
18,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
19,3BetAllInAt12Dollars,12.0,10,12.0,5,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
20,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
21,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
22,3BetAllInAt12Dollars,12.0,10,12.0,10,40.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
23,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
24,3BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
25,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
26,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
27,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
28,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
29,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
30,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
31,3BetAllInAt12Dollars,12.0,10,12.0,4,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
32,3BetAllInAt12Dollars,12.0,10,12.0,3,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
33,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
34,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
35,3BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
36,3BetAllInAt12Dollars,12.0,10,12.0,10,20.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
37,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
38,3BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
39,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
40,3BetAllInAt12Dollars,12.0,10,12.0,8,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
41,3BetAllInAt12Dollars,12.0,10,12.0,9,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
42,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
43,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
44,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
45,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
46,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
47,3BetAllInAt12Dollars,12.0,10,12.0,8,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
48,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
49,3BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
50,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
51,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
52,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
53,3BetAllInAt12Dollars,12.0,10,12.0,10,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
54,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
55,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
56,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
57,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
58,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
59,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
60,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
61,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
62,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
63,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
64,3BetAllInAt12Dollars,12.0,10,12.0,5,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
65,3BetAllInAt12Dollars,12.0,10,12.0,7,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
66,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
67,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
68,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
69,3BetAllInAt12Dollars,12.0,10,12.0,7,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
70,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
71,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
72,3BetAllInAt12Dollars,12.0,10,12.0,4,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
73,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
74,3BetAllInAt12Dollars,12.0,10,12.0,6,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
75,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
76,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
77,3BetAllInAt12Dollars,12.0,10,12.0,8,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
78,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
79,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
80,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
81,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
82,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
83,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
84,3BetAllInAt12Dollars,12.0,10,12.0,10,40.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
85,3BetAllInAt12Dollars,12.0,10,12.0,10,68.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
86,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
87,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
88,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
89,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
90,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
91,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
92,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
93,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
94,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
95,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
96,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
97,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
98,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
99,3BetAllInAt12Dollars,12.0,10,12.0,10,48.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
100,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
101,3BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
102,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
103,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
104,3BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
105,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
106,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
107,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
108,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
109,3BetAllInAt12Dollars,12.0,10,12.0,7,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
110,3BetAllInAt12Dollars,12.0,10,12.0,4,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
111,3BetAllInAt12Dollars,12.0,10,12.0,8,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
112,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
113,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
114,3BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
115,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
116,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
117,3BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
118,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
119,3BetAllInAt12Dollars,12.0,10,12.0,10,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
120,3BetAllInAt12Dollars,12.0,10,12.0,5,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
121,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
122,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
123,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
124,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
125,3BetAllInAt12Dollars,12.0,10,12.0,4,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
126,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
127,3BetAllInAt12Dollars,12.0,10,12.0,10,40.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
128,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
129,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
130,3BetAllInAt12Dollars,12.0,10,12.0,6,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
131,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
132,3BetAllInAt12Dollars,12.0,10,12.0,10,36.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
133,3BetAllInAt12Dollars,12.0,10,12.0,6,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
134,3BetAllInAt12Dollars,12.0,10,12.0,10,40.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
135,3BetAllInAt12Dollars,12.0,10,12.0,10,20.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
136,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
137,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
138,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
139,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
140,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
141,3BetAllInAt12Dollars,12.0,10,12.0,8,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
142,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
143,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
144,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
145,3BetAllInAt12Dollars,12.0,10,12.0,9,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
146,3BetAllInAt12Dollars,12.0,10,12.0,7,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
147,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
148,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
149,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
150,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
151,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
152,3BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
153,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
154,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
155,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
156,3BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
157,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
158,3BetAllInAt12Dollars,12.0,10,12.0,4,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
159,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
160,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
161,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
162,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
163,3BetAllInAt12Dollars,12.0,10,12.0,10,60.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
164,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
165,3BetAllInAt12Dollars,12.0,10,12.0,5,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
166,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
167,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
168,3BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
169,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
170,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
171,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
172,3BetAllInAt12Dollars,12.0,10,12.0,3,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
173,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
174,3BetAllInAt12Dollars,12.0,10,12.0,10,16.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
175,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
176,3BetAllInAt12Dollars,12.0,10,12.0,2,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
177,3BetAllInAt12Dollars,12.0,10,12.0,3,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
178,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
179,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
180,3BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
181,3BetAllInAt12Dollars,12.0,10,12.0,4,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
182,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
183,3BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
184,3BetAllInAt12Dollars,12.0,10,12.0,3,4.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
185,3BetAllInAt12Dollars,12.0,10,12.0,10,20.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
186,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
187,3BetAllInAt12Dollars,12.0,10,12.0,1,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
188,3BetAllInAt12Dollars,12.0,10,12.0,7,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
189,3BetAllInAt12Dollars,12.0,10,12.0,2,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
190,3BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
191,3BetAllInAt12Dollars,12.0,10,12.0,9,8.0,CRAB:4.0|FISH:4.0|SHRIMP:4.0
