Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
2,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
3,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
4,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
5,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
6,4BetAllInAt12Dollars,12.0,10,12.0,3,3.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
7,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
8,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
9,4BetAllInAt12Dollars,12.0,10,12.0,10,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
10,4BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
11,4BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
12,4BetAllInAt12Dollars,12.0,10,12.0,7,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
13,4BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
14,4BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
15,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
16,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
17,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
18,4BetAllInAt12Dollars,12.0,10,12.0,4,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
19,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
20,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
21,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
22,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
23,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
24,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
25,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
26,4BetAllInAt12Dollars,12.0,10,12.0,10,15.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
27,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
28,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
29,4BetAllInAt12Dollars,12.0,10,12.0,10,30.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
30,4BetAllInAt12Dollars,12.0,10,12.0,3,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
31,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
