Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
2,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
3,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
4,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
5,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
6,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
7,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
8,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
9,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
10,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
11,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
12,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
13,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
14,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
15,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
16,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
17,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
18,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
19,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
20,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
21,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
22,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
23,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
24,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
25,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
26,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
27,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
28,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
29,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
30,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
31,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
32,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
33,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
34,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
35,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
36,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
37,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
38,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
39,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
40,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
41,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
42,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
43,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
44,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
45,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
46,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
47,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
48,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
49,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
50,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
51,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
52,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
53,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
54,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
55,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
56,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
57,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
58,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
59,ConserveBet1,12.0,10,6.0,10,48.0,FISH:6.0
60,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
61,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
62,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
63,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
64,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
65,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
66,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
67,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
68,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
69,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
70,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
71,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
72,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
73,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
74,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
75,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
76,ConserveBet1,12.0,10,6.0,10,54.0,FISH:6.0
77,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
78,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
79,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
80,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
81,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
82,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
83,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
84,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
85,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
86,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
87,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
88,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
89,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
90,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
91,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
92,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
93,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
94,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
95,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
96,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
97,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
98,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
99,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
100,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
101,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
102,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
103,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
104,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
105,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
106,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
107,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
108,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
109,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
110,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
111,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
112,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
113,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
114,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
115,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
116,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
117,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
118,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
119,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
120,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
121,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
122,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
123,ConserveBet1,12.0,10,6.0,10,54.0,FISH:6.0
124,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
125,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
126,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
127,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
128,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
129,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
130,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
131,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
132,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
133,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
134,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
135,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
136,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
137,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
138,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
139,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
140,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
141,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
142,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
143,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
144,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
145,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
146,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
147,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
148,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
149,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
150,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
151,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
152,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
153,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
154,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
155,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
156,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
157,ConserveBet1,12.0,10,6.0,10,72.0,FISH:6.0
158,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
159,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
160,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
161,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
162,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
163,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
164,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
165,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
166,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
167,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
168,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
169,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
170,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
171,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
172,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
173,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
174,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
175,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
176,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
177,ConserveBet1,12.0,10,6.0,10,54.0,FISH:6.0
178,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
179,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
180,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
181,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
182,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
183,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
184,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
185,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
186,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
187,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
188,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
189,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
190,ConserveBet1,12.0,10,6.0,10,48.0,FISH:6.0
191,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
192,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
193,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
194,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
195,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
196,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
197,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
198,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
199,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
200,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
201,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
202,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
203,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
204,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
205,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
206,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
207,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
208,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
209,ConserveBet1,12.0,10,6.0,10,12.0,FISH:6.0
210,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
211,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
212,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
213,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
214,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
215,ConserveBet1,12.0,10,6.0,10,84.0,FISH:6.0
216,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
217,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
218,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
219,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
220,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
221,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
222,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
223,ConserveBet1,12.0,10,6.0,10,42.0,FISH:6.0
224,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
225,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
226,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
227,ConserveBet1,12.0,10,6.0,10,36.0,FISH:6.0
228,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
229,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
230,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
