Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
2,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
3,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
4,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
5,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
6,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
7,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
8,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
9,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
10,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
11,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
12,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
13,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
14,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
15,ConserveBet2,12.0,10,6.0,7,0.0,CRAB:3.0|FISH:3.0
16,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
17,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
18,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
19,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
20,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
21,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
22,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
23,ConserveBet2,12.0,10,6.0,10,39.0,CRAB:3.0|FISH:3.0
24,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
25,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
26,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
27,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
28,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
29,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
30,ConserveBet2,12.0,10,6.0,10,36.0,CRAB:3.0|FISH:3.0
31,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
32,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
33,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
34,ConserveBet2,12.0,10,6.0,10,18.0,CRAB:3.0|FISH:3.0
35,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
36,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
37,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
