Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
2,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
3,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
4,ConserveBet5,12.0,10,6.0,9,2.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
5,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
6,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
7,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
8,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
9,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
10,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
11,ConserveBet5,12.0,10,6.0,9,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
12,ConserveBet5,12.0,10,6.0,5,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
13,ConserveBet5,12.0,10,6.0,8,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
14,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
15,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
16,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
17,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
18,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
19,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
20,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
21,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
22,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
23,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
24,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
25,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
26,ConserveBet5,12.0,10,6.0,7,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
27,ConserveBet5,12.0,10,6.0,10,15.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
28,ConserveBet5,12.0,10,6.0,5,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
29,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
30,ConserveBet5,12.0,10,6.0,3,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
31,ConserveBet5,12.0,10,6.0,7,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
32,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
33,ConserveBet5,12.0,10,6.0,4,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
34,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
35,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
36,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
37,ConserveBet5,12.0,10,6.0,10,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
38,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
39,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
40,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
41,ConserveBet5,12.0,10,6.0,6,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
42,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
43,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
44,ConserveBet5,12.0,10,6.0,9,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
45,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
46,ConserveBet5,12.0,10,6.0,8,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
47,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
48,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
49,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
50,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
51,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
52,ConserveBet5,12.0,10,6.0,3,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
53,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
54,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
55,ConserveBet5,12.0,10,6.0,7,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
56,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
57,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
58,ConserveBet5,12.0,10,6.0,5,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
59,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
60,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
61,ConserveBet5,12.0,10,6.0,9,2.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
62,ConserveBet5,12.0,10,6.0,7,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
63,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
64,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
65,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
66,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
67,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
68,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
69,ConserveBet5,12.0,10,6.0,7,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
70,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
71,ConserveBet5,12.0,10,6.0,4,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
72,ConserveBet5,12.0,10,6.0,4,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
73,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
74,ConserveBet5,12.0,10,6.0,10,18.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
75,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
76,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
77,ConserveBet5,12.0,10,6.0,10,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
78,ConserveBet5,12.0,10,6.0,8,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
79,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
80,ConserveBet5,12.0,10,6.0,6,2.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
81,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
82,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
83,ConserveBet5,12.0,10,6.0,6,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
84,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
85,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
86,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
87,ConserveBet5,12.0,10,6.0,3,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
88,ConserveBet5,12.0,10,6.0,5,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
89,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
90,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
91,ConserveBet5,12.0,10,6.0,10,14.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
92,ConserveBet5,12.0,10,6.0,5,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
93,ConserveBet5,12.0,10,6.0,7,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
94,ConserveBet5,12.0,10,6.0,9,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
95,ConserveBet5,12.0,10,6.0,10,18.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
96,ConserveBet5,12.0,10,6.0,10,9.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
97,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
98,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
99,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
100,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
101,ConserveBet5,12.0,10,6.0,6,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
102,ConserveBet5,12.0,10,6.0,3,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
103,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
104,ConserveBet5,12.0,10,6.0,6,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
105,ConserveBet5,12.0,10,6.0,10,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
106,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
107,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
108,ConserveBet5,12.0,10,6.0,10,15.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
109,ConserveBet5,12.0,10,6.0,2,3.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
110,ConserveBet5,12.0,10,6.0,8,2.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
111,ConserveBet5,12.0,10,6.0,5,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
112,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
113,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
114,ConserveBet5,12.0,10,6.0,10,2.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
115,ConserveBet5,12.0,10,6.0,10,7.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
116,ConserveBet5,12.0,10,6.0,9,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
117,ConserveBet5,12.0,10,6.0,10,10.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
118,ConserveBet5,12.0,10,6.0,5,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
119,ConserveBet5,12.0,10,6.0,10,12.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
120,ConserveBet5,12.0,10,6.0,10,6.0,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
121,ConserveBet5,12.0,10,6.0,5,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
122,ConserveBet5,12.0,10,6.0,6,4.8,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
123,ConserveBet5,12.0,10,6.0,10,8.4,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
124,ConserveBet5,12.0,10,6.0,10,13.2,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
125,ConserveBet5,12.0,10,6.0,10,15.6,CRAB:1.2|DEER:1.2|FISH:1.2|GOURD:1.2|SHRIMP:1.2
