Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
1,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
2,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
3,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
4,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
5,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
6,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
7,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
8,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
9,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
10,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
11,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
12,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
13,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
14,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
15,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
16,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
17,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
18,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
19,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
20,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
21,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
22,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
23,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
24,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
25,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
26,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
27,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
28,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
29,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
30,Conserve6,12.0,10,6.0,6,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
31,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
32,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
33,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
34,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
35,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
36,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
37,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
38,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
39,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
40,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
41,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
42,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
43,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
44,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
45,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
46,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
47,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
48,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
49,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
50,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
51,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
52,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
53,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
54,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
55,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
56,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
57,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
58,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
59,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
60,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
61,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
62,Conserve6,12.0,10,6.0,7,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
63,Conserve6,12.0,10,6.0,9,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
64,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
65,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
66,Conserve6,12.0,10,6.0,10,10.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
67,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
68,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
69,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
70,Conserve6,12.0,10,6.0,10,6.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
71,Conserve6,12.0,10,6.0,10,11.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
72,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
73,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
74,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
75,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
76,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
77,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
78,Conserve6,12.0,10,6.0,10,8.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
79,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
80,Conserve6,12.0,10,6.0,10,9.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
81,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
82,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
83,Conserve6,12.0,10,6.0,8,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
84,Conserve6,12.0,10,6.0,10,5.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
85,Conserve6,12.0,10,6.0,10,7.0,CRAB:1.0|DEER:1.0|FISH:1.0|GOURD:1.0|ROOSTER:1.0|SHRIMP:1.0
